Row,Identifier 1,Peak Nr,d 13C/12C,d 15N/14N,Corr d13C,Corr d15N,,,,,,ID,d13C Meas,d13C exp,d15Nmeas,d15N exp,,,
5,Peachleaves_std,4,-24.801,1.206,-25.78,2.14,,,,,,Protein Std 1,-26.197,-26.98,5.147,5.94,,,
6,BG2023_170_SPPA_fine_composite,4,-13.497,0.761,-14.38,1.71,,,,,,Protein Std 2,-25.823,-26.98,5.15,5.94,,,
8,BG2023_338_COMP_fine_TOP,4,-24.925,-0.457,-25.91,0.54,,,,,,Sorghum Std 1,-13.128,-13.68,0.777,1.58,,,
9,BG2023_233_COMP_fine_TOP,4,-27.847,0.183,-28.85,1.16,,,,,,Sorghum Std 2,-12.529,-13.68,0.65,1.58,,,
10,BG2023_88_COMP_fine_TOP,4,-19.635,0.16,-20.57,1.13,,,,,,Peach Leaf Std 1,-25.33,-25.95,0.913,2.04,,,
11,BG2023_37_COMP_coarse_TOP,4,-26.026,0.498,-27.02,1.46,,,,,,Peach Leaf Std 2,-24.522,-25.95,1.102,2.04,,,
12,BG2023_335_COMP_coarse_TOP,4,-23.226,0.211,-24.19,1.18,,,,,,,,,,,,,
13,BG2023_338_COMP_coarse_TOP,4,-23.241,-0.111,-24.21,0.87,,,,,,,,,,,,,
14,BG2023_233_COMP_coarse_TOP,4,-26.941,0.466,-27.94,1.43,,,,,,,,,,,,,
15,BG2023_170_SPPA_coarse_composite,4,-14.265,1.769,-15.15,2.68,,,,,,,,,,,,,
16,BG2023_88_COMP_coarse_TOP,4,-21.206,1.523,-22.15,2.45,,,,,,,,,,,,,
17,BG2023_281_COMP_mill_TOP,4,-26.376,-0.586,-27.37,0.41,,,,,,,,,,,,,
18,BG2023_335_COMP_mill_TOP,4,-25.413,-0.173,-26.40,0.81,,,,,,,,,,,,,
19,BG2023_335_COMP_mill_TOP,4,-25.188,0.717,-26.17,1.67,,,,,,,,,,,,,
20,BG2023_233_COMP_mill_TOP,4,-27.199,-0.614,-28.20,0.39,,,,,,,,,,,,,
21,BG2023_170_SPPA_mill_composite,4,-14.188,0.515,-15.08,1.48,,,,,,,,,,,,,
22,BG2023_338_COMP_mill_TOP,4,-23.71,-0.232,-24.68,0.76,,,,,,,,,,,,,
23,BG2023_88_COMP_mill_TOP,4,-21.761,1.462,-22.71,2.39,,,,,,,,,,,,,
25,Protein_std,4,-26.197,5.147,-27.19,5.94,,,,,,,,,,,,,
26,Sorghumflour_std,4,-13.128,0.777,-14.01,1.73,,,,,,,,,,,,,
27,Peachleaves_std,4,-25.33,0.913,-26.31,1.86,,,,,,,,,,,,,
28,BG2023_170_SPPA_fine_composite,4,-13.972,0.773,-14.86,1.72,,,,,,,,,,,,,
29,BG2023_170_SPPA_mill_composite,4,-14.077,1.141,-14.97,2.08,,,,,,,,,,,,,
30,BG2023_338_COMP_fine_TOP,4,-24.352,-1.068,-25.33,-0.05,,,,,,,,,,,,,
31,BG2023_233_COMP_fine_TOP,4,-27.056,0.015,-28.05,0.99,,,,,,,,,,,,,
32,BG2023_88_COMP_fine_TOP,4,-18.64,1.117,-19.57,2.06,,,,,,,,,,,,,
33,BG2023_243_COMP_coarse_TOP,4,-25.284,0.506,-26.27,1.47,,,,,,,,,,,,,
34,BG2023_338_COMP_coarse_TOP,4,-21.301,0.225,-22.25,1.20,,,,,,,,,,,,,
35,BG2023_233_COMP_coarse_TOP,4,-26.149,0.695,-27.14,1.65,,,,,,,,,,,,,
36,BG2023_170_SPPA_coarse_composite,4,-13.807,1.674,-14.69,2.59,,,,,,,,,,,,,
37,BG2023_88_COMP_coarse_TOP,4,-19.783,1.231,-20.72,2.17,,,,,,,,,,,,,
38,BG2023_335_COMP_mill_TOP,4,-24.198,-0.247,-25.17,0.74,,,,,,,,,,,,,
39,BG2023_233_COMP_mill_TOP,4,-26.295,-1.17,-27.29,-0.15,,,,,,,,,,,,,
40,BG2023_233_COMP_mill_TOP,4,-26.314,-1.082,-27.31,-0.06,,,,,,,,,,,,,
41,BG2023_170_SPPA_mill_composite,4,-12.903,0.202,-13.78,1.17,,,,,,,,,,,,,
42,BG2023_338_COMP_mill_TOP,4,-21.539,-0.553,-22.49,0.45,,,,,,,,,,,,,
43,BG2023_338_COMP_mill_TOP,4,-22.851,-0.308,-23.81,0.68,,,,,,,,,,,,,
44,BG2023_88_COMP_mill_TOP,4,-22.008,0.228,-22.96,1.20,,,,,,,,,,,,,
45,BG2023_88_COMP_mill_TOP,4,-21.598,0.603,-22.55,1.56,,,,,,,,,,,,,
47,Protein_std,4,-25.823,5.15,-26.81,5.94,,,,,,,,,,,,,
48,Sorghumflour_std,4,-12.529,0.65,-13.40,1.61,,,,,,,,,,,,,
49,Peachleaves_std,4,-24.522,1.102,-25.50,2.04,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
